Name,Description
Vincent van Gogh,Dutch post-impressionist painter known for his unique style and influential works.
Pablo Picasso,Spanish painter and sculptor who co-founded the Cubist movement and is considered one of the most influential artists of the 20th century.
Nelson Mandela,South African anti-apartheid activist and politician who served as President of South Africa.
John Locke,English philosopher who laid the groundwork for modern democratic theory and liberalism.
Thomas Hobbes,English philosopher known for his social contract theory and views on human nature.
Voltaire,French Enlightenment writer known for his advocacy of civil liberties and separation of church and state.
Jean-Jacques Rousseau,Genevan philosopher whose ideas on democracy and education influenced modern political thought.
Mary Wollstonecraft,Early advocate for women's rights and author of 'A Vindication of the Rights of Woman.'
Frederick Douglass,Abolitionist and social reformer who escaped slavery and became a prominent activist.
Susan B. Anthony,Leader in the women's suffrage movement in the United States.
Ruth Bader Ginsburg,Associate Justice of the U.S. Supreme Court known for her work on gender equality and civil rights.
Barack Obama,44th President of the United States and the first African American to hold the office.
Franklin D. Roosevelt,32nd President of the United States who led the country during the Great Depression and World War II.
Margaret Thatcher,"First female Prime Minister of the United Kingdom, known for her strong conservative policies."
Angela Merkel,Chancellor of Germany who played a key role in European politics and economic stability.
Indira Gandhi,"First and only female Prime Minister of India, known for her central role in Indian politics."
Golda Meir,"First and only female Prime Minister of Israel, known for her leadership during the Yom Kippur War."
Cesar Chavez,Labor leader and civil rights activist who fought for the rights of farmworkers.
Nelson Mandela,Anti-apartheid revolutionary and political leader who became South Africa's first black president.
Desmond Tutu,South African Anglican bishop and social rights activist known for his work against apartheid.
Aung San Suu Kyi,Burmese politician and Nobel laureate known for her pro-democracy efforts.
Vladimir Lenin,Leader of the Bolshevik Party and key figure in the Russian Revolution.
Winston Churchill,British Prime Minister known for his leadership during World War II.
